순위,브랜드,차종,대분류,상세분류,비율,2023년 누계
1,현대,그랜저,Sedan,E,8.8,62970
2,현대,포터,etc,상용,6.3,53351
3,기아,쏘렌토,SUV,D-SUV,5.3,36558
4,기아,스포티지,SUV,C-SUV,4.9,36084
5,기아,카니발,MPV,MPV,4.8,39350
6,현대,아반떼,Sedan,C,4.1,36250
7,기아,셀토스,SUV,B-SUV,4.0,26944
6,현대,아반떼,Sedan,C,4.1,36250
8,제네시스,G80,Sedan,E-LUX,3.6,27121
9,기아,K8,Sedan,E,3.4,25155
10,현대,투싼,SUV,C-SUV,3.4,24227
11,기아,봉고3,etc,상용,3.4,34325
12,기아,레이,etc,A,3.3,25114
13,현대,쏘나타,Sedan,D,3.1,15969
14,제네시스,GV70,SUV,D-SUV(L),3.1,16003
15,현대,캐스퍼,SUV,A-SUV,3.0,20866
16,한국GM,트랙스,SUV,B-SUV,2.9,10311
17,현대,스타리아,MPV,MPV,2.7,20822
18,현대,싼타페,SUV,D-SUV,2.6,16561
19,현대,팰리세이드,SUV,E-SUV,2.4,23094
20,현대,코나,SUV,B-SUV,2.4,18612
21,기아,K5,Sedan,D,2.3,17502
22,KG모빌리티,토레스,SUV,C-SUV,2.2,25775
23,제네시스,GV80,SUV,E-SUV(L),2.0,14565
24,기아,니로,SUV,EV,1.7,13165
25,기아,모닝,etc,A,1.7,12900
26,제네시스,G90,Sedan,F-LUX,1.2,6968
27,기아,K3,Sedan,C,1.2,6356
28,KG모빌리티,렉스턴스포츠,etc,P,1.2,7800
29,기아,EV6,SUV,EV,1.1,10927
30,기아,EV9,SUV,EV,1.0,1334
31,현대,아이오닉5,SUV,EV,1.0,9504
32,현대,베뉴,SUV,B-SUV,0.7,3576
33,르노코리아,QM6,SUV,C-SUV,0.7,5973
34,한국GM,트레일블레이저,SUV,B-SUV,0.6,4267
35,KG모빌리티,티볼리,SUV,B-SUV,0.6,2867
36,르노코리아,XM3,SUV,B-SUV,0.6,4989
37,기아,모하비,SUV,E-SUV,0.4,3007
38,현대,아이오닉6,SUV,EV,0.4,6779
39,제네시스,G70,Sedan,D-LUX,0.4,2099
40,제네시스,GV60,SUV,EV,0.3,2483
41,기아,K9,Sedan,F-LUX,0.3,2262
42,KG모빌리티,렉스턴,SUV,E-SUV,0.3,1666
43,현대,넥쏘,etc,FCEV,0.2,2927
44,르노코리아,SM6,Sedan,D,0.1,1246
45,한국GM,콜로라도,etc,P,0.1,841
46,KG모빌리티,코란도,SUV,C-SUV,0.1,861
47,한국GM,트래버스,SUV,E-SUV,0.1,608
48,한국GM,BOLT(EUV),etc,EV,0.1,628
